Battlemaster,Eromanga-sensei,32901,7
Battlemaster,Gamers!,34280,8
bearvarine,B-gata H-kei,7817,7
bearvarine,Shuffle!,79,7
bearvarine,Eromanga-sensei,32901,7
bearvarine,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,7
Biogundam,Sword Art Online,11757,4
Biogundam,Guilty Crown,10793,4
Biogundam,Mahouka Koukou no Rettousei,20785,3
Biogundam,Rakudai Kishi no Cavalry,30296,6
Biogundam,Sword Art Online II,21881,4
Biogundam,Black Bullet,20787,4
Biogundam,Re:Creators,34561,5
Biogundam,Fate/stay night,356,6
Biogundam,Highschool of the Dead,8074,6
Biogundam,Shuffle!,79,6
Biogundam,Eromanga-sensei,32901,5
Biogundam,Yosuga no Sora: In Solitude Where We Are Least Alone.,8861,5
BlackCicero,Re:Creators,34561,7
BlackCicero,Juuni Taisen,35076,8
BlackCicero,Isekai wa Smartphone to Tomo ni.,35203,5
BlackCicero,Gamers!,34280,8
blaice,Akame ga Kill!,22199,8
blaice,Kenja no Mago,36407,4
blaice,Isekai wa Smartphone to Tomo ni.,35203,7
blaice,Masamune-kun no Revenge,33487,3
BlancaXLobo,Guilty Crown,10793,5
BlancaXLobo,Blood-C,10490,9
BlancaXLobo,Black Bullet,20787,6
BlancaXLobo,Tokyo Ghoul √A,27899,5
Blazestar,Highschool of the Dead,8074,8
Blazestar,Sword Art Online,11757,6
Blazestar,Sword Art Online II,21881,5
Blec,Guilty Crown,10793,3
Blec,Sword Art Online,11757,6
Blec,Fate/Apocrypha,34662,3
bleumouse,Deadman Wonderland,6880,6
bleumouse,Akame ga Kill!,22199,7
bleumouse,Black Bullet,20787,5
bloge,Re:Creators,34561,6
bloge,Fate/stay night,356,4
bloge,Rokka no Yuusha,28497,7
Blood_Diver_A,Aldnoah.Zero,22729,4
Blood_Diver_A,Sword Art Online,11757,5
Blood_Diver_A,Goblin Slayer,37349,9
Blood_Diver_A,Isekai wa Smartphone to Tomo ni.,35203,3
BlueEclispe,Btooom!,14345,9
BlueEclispe,Re:Creators,34561,8
BlueEclispe,Juuni Taisen,35076,9
BlueEclispe,Black Clover,34572,3
BlueEclispe,Arifureta Shokugyou de Sekai Saikyou,36882,3
BlueEclispe,Isekai wa Smartphone to Tomo ni.,35203,7
BlueEclispe,Death March kara Hajimaru Isekai Kyousoukyoku,34497,5
bridgetheman,Aldnoah.Zero,22729,8
bridgetheman,Akame ga Kill!,22199,6
bridgetheman,Kenja no Mago,36407,7
bridgetheman,Darling in the FranXX,35849,7
brynolf,Highschool of the Dead,8074,3
brynolf,Gantz,384,7
brynolf,Elfen Lied,226,9
brynolf,Deadman Wonderland,6880,6
